,champion,championId
0,Aatrox,266
1,Ahri,103
2,Akali,84
3,Alistar,12
4,Amumu,32
5,Anivia,34
6,Annie,1
7,Aphelios,523
8,Ashe,22
9,AurelionSol,136
10,Azir,268
11,Bard,432
12,Blitzcrank,53
13,Brand,63
14,Braum,201
15,Caitlyn,51
16,Camille,164
17,Cassiopeia,69
18,Chogath,31
19,Corki,42
20,Darius,122
21,Diana,131
22,Draven,119
23,DrMundo,36
24,Ekko,245
25,Elise,60
26,Evelynn,28
27,Ezreal,81
28,Fiddlesticks,9
29,Fiora,114
30,Fizz,105
31,Galio,3
32,Gangplank,41
33,Garen,86
34,Gnar,150
35,Gragas,79
36,Graves,104
37,Hecarim,120
38,Heimerdinger,74
39,Illaoi,420
40,Irelia,39
41,Ivern,427
42,Janna,40
43,JarvanIV,59
44,Jax,24
45,Jayce,126
46,Jhin,202
47,Jinx,222
48,Kaisa,145
49,Kalista,429
50,Karma,43
51,Karthus,30
52,Kassadin,38
53,Katarina,55
54,Kayle,10
55,Kayn,141
56,Kennen,85
57,Khazix,121
58,Kindred,203
59,Kled,240
60,KogMaw,96
61,Leblanc,7
62,LeeSin,64
63,Leona,89
64,Lissandra,127
65,Lucian,236
66,Lulu,117
67,Lux,99
68,Malphite,54
69,Malzahar,90
70,Maokai,57
71,MasterYi,11
72,MissFortune,21
73,MonkeyKing,62
74,Mordekaiser,82
75,Morgana,25
76,Nami,267
77,Nasus,75
78,Nautilus,111
79,Neeko,518
80,Nidalee,76
81,Nocturne,56
82,Nunu,20
83,Olaf,2
84,Orianna,61
85,Ornn,516
86,Pantheon,80
87,Poppy,78
88,Pyke,555
89,Qiyana,246
90,Quinn,133
91,Rakan,497
92,Rammus,33
93,RekSai,421
94,Renekton,58
95,Rengar,107
96,Riven,92
97,Rumble,68
98,Ryze,13
99,Sejuani,113
100,Senna,235
101,Sett,875
102,Shaco,35
103,Shen,98
104,Shyvana,102
105,Singed,27
106,Sion,14
107,Sivir,15
108,Skarner,72
109,Sona,37
110,Soraka,16
111,Swain,50
112,Sylas,517
113,Syndra,134
114,TahmKench,223
115,Taliyah,163
116,Talon,91
117,Taric,44
118,Teemo,17
119,Thresh,412
120,Tristana,18
121,Trundle,48
122,Tryndamere,23
123,TwistedFate,4
124,Twitch,29
125,Udyr,77
126,Urgot,6
127,Varus,110
128,Vayne,67
129,Veigar,45
130,Velkoz,161
131,Vi,254
132,Viktor,112
133,Vladimir,8
134,Volibear,106
135,Warwick,19
136,Xayah,498
137,Xerath,101
138,XinZhao,5
139,Yasuo,157
140,Yorick,83
141,Yuumi,350
142,Zac,154
143,Zed,238
144,Ziggs,115
145,Zilean,26
146,Zoe,142
147,Zyra,143
